Business_ID	Tranche_Type	Amount	Return_Target	Priority	Risk_Level
UBIDS_011	Senior	65000.00	8-10%	1	Low
UBIDS_011	Mezzanine	20000.00	12-16%	2	Medium
UBIDS_011	Equity	15000.00	20%+	3	High
UBIDS_012	Senior	97500.00	8-10%	1	Low
UBIDS_012	Mezzanine	30000.00	12-16%	2	Medium
UBIDS_012	Equity	22500.00	20%+	3	High
UBIDS_013	Senior	78000.00	8-10%	1	Low
UBIDS_013	Mezzanine	24000.00	12-16%	2	Medium
UBIDS_013	Equity	18000.00	20%+	3	High
UBIDS_014	Senior	117000.00	8-10%	1	Low
UBIDS_014	Mezzanine	36000.00	12-16%	2	Medium
UBIDS_014	Equity	27000.00	20%+	3	High
UBIDS_015	Senior	61750.00	8-10%	1	Low
UBIDS_015	Mezzanine	19000.00	12-16%	2	Medium
UBIDS_015	Equity	14250.00	20%+	3	High
UBIDS_016	Senior	91000.00	8-10%	1	Low
UBIDS_016	Mezzanine	28000.00	12-16%	2	Medium
UBIDS_016	Equity	21000.00	20%+	3	High
UBIDS_017	Senior	71500.00	8-10%	1	Low
UBIDS_017	Mezzanine	22000.00	12-16%	2	Medium
UBIDS_017	Equity	16500.00	20%+	3	High
UBIDS_018	Senior	104000.00	8-10%	1	Low
UBIDS_018	Mezzanine	32000.00	12-16%	2	Medium
UBIDS_018	Equity	24000.00	20%+	3	High
UBIDS_019	Senior	84500.00	8-10%	1	Low
UBIDS_019	Mezzanine	26000.00	12-16%	2	Medium
UBIDS_019	Equity	19500.00	20%+	3	High
UBIDS_020	Senior	113750.00	8-10%	1	Low
UBIDS_020	Mezzanine	35000.00	12-16%	2	Medium
UBIDS_020	Equity	26250.00	20%+	3	High
UBIDS_021	Senior	568750.00	8-10%	1	Low
UBIDS_021	Mezzanine	175000.00	12-16%	2	Medium
UBIDS_021	Equity	131250.00	20%+	3	High
UBIDS_022	Senior	812500.00	8-10%	1	Low
UBIDS_022	Mezzanine	250000.00	12-16%	2	Medium
UBIDS_022	Equity	187500.00	20%+	3	High
UBIDS_023	Senior	598000.00	8-10%	1	Low
UBIDS_023	Mezzanine	184000.00	12-16%	2	Medium
UBIDS_023	Equity	138000.00	20%+	3	High
UBIDS_024	Senior	1092000.00	8-10%	1	Low
UBIDS_024	Mezzanine	336000.00	12-16%	2	Medium
UBIDS_024	Equity	252000.00	20%+	3	High
UBIDS_025	Senior	715000.00	8-10%	1	Low
UBIDS_025	Mezzanine	220000.00	12-16%	2	Medium
UBIDS_025	Equity	165000.00	20%+	3	High
UBIDS_026	Senior	510250.00	8-10%	1	Low
UBIDS_026	Mezzanine	157000.00	12-16%	2	Medium
UBIDS_026	Equity	117750.00	20%+	3	High
UBIDS_027	Senior	942500.00	8-10%	1	Low
UBIDS_027	Mezzanine	290000.00	12-16%	2	Medium
UBIDS_027	Equity	217500.00	20%+	3	High
UBIDS_028	Senior	1365000.00	8-10%	1	Low
UBIDS_028	Mezzanine	420000.00	12-16%	2	Medium
UBIDS_028	Equity	315000.00	20%+	3	High
UBIDS_029	Senior	617500.00	8-10%	1	Low
UBIDS_029	Mezzanine	190000.00	12-16%	2	Medium
UBIDS_029	Equity	142500.00	20%+	3	High
UBIDS_030	Senior	861250.00	8-10%	1	Low
UBIDS_030	Mezzanine	265000.00	12-16%	2	Medium
UBIDS_030	Equity	198750.00	20%+	3	High
