Business_ID	Step_Order	Tranche	Description
UBIDS_011	1	Senior	Senior debt repayment
UBIDS_011	2	Mezzanine	Mezzanine return distribution
UBIDS_011	3	Equity	Equity residual distribution
UBIDS_012	1	Senior	Senior debt repayment
UBIDS_012	2	Mezzanine	Mezzanine return distribution
UBIDS_012	3	Equity	Equity residual distribution
UBIDS_013	1	Senior	Senior debt repayment
UBIDS_013	2	Mezzanine	Mezzanine return distribution
UBIDS_013	3	Equity	Equity residual distribution
UBIDS_014	1	Senior	Senior debt repayment
UBIDS_014	2	Mezzanine	Mezzanine return distribution
UBIDS_014	3	Equity	Equity residual distribution
UBIDS_015	1	Senior	Senior debt repayment
UBIDS_015	2	Mezzanine	Mezzanine return distribution
UBIDS_015	3	Equity	Equity residual distribution
UBIDS_016	1	Senior	Senior debt repayment
UBIDS_016	2	Mezzanine	Mezzanine return distribution
UBIDS_016	3	Equity	Equity residual distribution
UBIDS_017	1	Senior	Senior debt repayment
UBIDS_017	2	Mezzanine	Mezzanine return distribution
UBIDS_017	3	Equity	Equity residual distribution
UBIDS_018	1	Senior	Senior debt repayment
UBIDS_018	2	Mezzanine	Mezzanine return distribution
UBIDS_018	3	Equity	Equity residual distribution
UBIDS_019	1	Senior	Senior debt repayment
UBIDS_019	2	Mezzanine	Mezzanine return distribution
UBIDS_019	3	Equity	Equity residual distribution
UBIDS_020	1	Senior	Senior debt repayment
UBIDS_020	2	Mezzanine	Mezzanine return distribution
UBIDS_020	3	Equity	Equity residual distribution
UBIDS_021	1	Senior	Senior debt repayment
UBIDS_021	2	Mezzanine	Mezzanine return distribution
UBIDS_021	3	Equity	Equity residual distribution
UBIDS_022	1	Senior	Senior debt repayment
UBIDS_022	2	Mezzanine	Mezzanine return distribution
UBIDS_022	3	Equity	Equity residual distribution
UBIDS_023	1	Senior	Senior debt repayment
UBIDS_023	2	Mezzanine	Mezzanine return distribution
UBIDS_023	3	Equity	Equity residual distribution
UBIDS_024	1	Senior	Senior debt repayment
UBIDS_024	2	Mezzanine	Mezzanine return distribution
UBIDS_024	3	Equity	Equity residual distribution
UBIDS_025	1	Senior	Senior debt repayment
UBIDS_025	2	Mezzanine	Mezzanine return distribution
UBIDS_025	3	Equity	Equity residual distribution
UBIDS_026	1	Senior	Senior debt repayment
UBIDS_026	2	Mezzanine	Mezzanine return distribution
UBIDS_026	3	Equity	Equity residual distribution
UBIDS_027	1	Senior	Senior debt repayment
UBIDS_027	2	Mezzanine	Mezzanine return distribution
UBIDS_027	3	Equity	Equity residual distribution
UBIDS_028	1	Senior	Senior debt repayment
UBIDS_028	2	Mezzanine	Mezzanine return distribution
UBIDS_028	3	Equity	Equity residual distribution
UBIDS_029	1	Senior	Senior debt repayment
UBIDS_029	2	Mezzanine	Mezzanine return distribution
UBIDS_029	3	Equity	Equity residual distribution
UBIDS_030	1	Senior	Senior debt repayment
UBIDS_030	2	Mezzanine	Mezzanine return distribution
UBIDS_030	3	Equity	Equity residual distribution
